bar,title,date
632,CATCHINGFIRE,4/2/2012
1787,CATCHINGFIRE,4/3/2012
1741,CATCHINGFIRE,4/4/2012
1530,CATCHINGFIRE,4/5/2012
3226,CATCHINGFIRE,4/6/2012
1875,CATCHINGFIRE,4/7/2012
6840,CATCHINGFIRE,4/8/2012
2800,CATCHINGFIRE,4/9/2012
2250,CATCHINGFIRE,4/10/2012
3263,CATCHINGFIRE,4/11/2012
1684,CATCHINGFIRE,4/12/2012
1330,CATCHINGFIRE,4/13/2012
1181,CATCHINGFIRE,4/14/2012
1030,CATCHINGFIRE,4/15/2012
1077,CATCHINGFIRE,4/16/2012
1070,CATCHINGFIRE,4/17/2012
907,CATCHINGFIRE,4/18/2012
1168,CATCHINGFIRE,4/19/2012
1965,CATCHINGFIRE,4/20/2012
927,CATCHINGFIRE,4/21/2012
1016,CATCHINGFIRE,4/22/2012
968,CATCHINGFIRE,4/23/2012
1167,CATCHINGFIRE,4/24/2012
908,CATCHINGFIRE,4/25/2012
898,CATCHINGFIRE,4/26/2012
885,CATCHINGFIRE,4/27/2012
1049,CATCHINGFIRE,4/28/2012
832,CATCHINGFIRE,4/29/2012
813,CATCHINGFIRE,4/30/2012
